3.08567758e+14  9.55383964e+112 1.31005153e+127 
8.23875914e+20  5.92464454e-25  8.12405269e-11  
8.25727321e+20  5.91318429e-25  8.10833804e-11  
8.27578727e+20  5.90173881e-25  8.09264365e-11  
8.29430134e+20  5.89030817e-25  8.07696961e-11  
8.31281540e+20  5.87889244e-25  8.06131601e-11  
8.33132947e+20  5.86749167e-25  8.04568293e-11  
8.34984353e+20  5.85610594e-25  8.03007047e-11  
8.36835760e+20  5.84473530e-25  8.01447871e-11  
8.38687166e+20  5.83337983e-25  7.99890773e-11  
8.40538573e+20  5.82203957e-25  7.98335763e-11  
8.42389980e+20  5.81071459e-25  7.96782847e-11  
8.44241386e+20  5.79940495e-25  7.95232036e-11  
8.46092793e+20  5.78811072e-25  7.93683336e-11  
8.47944199e+20  5.77683194e-25  7.92136755e-11  
8.49795606e+20  5.76556868e-25  7.90592303e-11  
8.51647012e+20  5.75432099e-25  7.89049985e-11  
8.53498419e+20  5.74308893e-25  7.87509812e-11  
8.55349825e+20  5.73187256e-25  7.85971788e-11  
8.57201232e+20  5.72067193e-25  7.84435924e-11  
8.59052638e+20  5.70948709e-25  7.82902225e-11  
8.60904045e+20  5.69831810e-25  7.81370699e-11  
8.62755452e+20  5.68716501e-25  7.79841353e-11  
8.64606858e+20  5.67602787e-25  7.78314195e-11  
8.66458265e+20  5.66490673e-25  7.76789231e-11  
8.68309671e+20  5.65380165e-25  7.75266468e-11  
8.70161078e+20  5.64271267e-25  7.73745913e-11  
8.72012484e+20  5.63163984e-25  7.72227573e-11  
8.73863891e+20  5.62058322e-25  7.70711455e-11  
8.75715297e+20  5.60954284e-25  7.69197565e-11  
8.77566704e+20  5.59851875e-25  7.67685909e-11  
8.79418110e+20  5.58751101e-25  7.66176494e-11  
8.81269517e+20  5.57651966e-25  7.64669326e-11  
8.83120924e+20  5.56554474e-25  7.63164412e-11  
8.84972330e+20  5.55458629e-25  7.61661756e-11  
8.86823737e+20  5.54364436e-25  7.60161366e-11  
8.88675143e+20  5.53271900e-25  7.58663247e-11  
8.90526550e+20  5.52181024e-25  7.57167405e-11  
8.92377956e+20  5.51091813e-25  7.55673845e-11  
8.94229363e+20  5.50004270e-25  7.54182574e-11  
8.96080769e+20  5.48918400e-25  7.52693596e-11  
8.97932176e+20  5.47834207e-25  7.51206917e-11  
8.99783583e+20  5.46751695e-25  7.49722543e-11  
9.01634989e+20  5.45670867e-25  7.48240479e-11  
9.03486396e+20  5.44591727e-25  7.46760730e-11  
9.05337802e+20  5.43514279e-25  7.45283300e-11  
9.07189209e+20  5.42438527e-25  7.43808196e-11  
9.09040615e+20  5.41364473e-25  7.42335422e-11  
9.10892022e+20  5.40292123e-25  7.40864982e-11  
